id,time
U9053_00001,6810
U9053_00002,7300
U9053_00003,7140
U9053_00004,8530
U9053_00005,8040
U9053_00006,8220
U9053_00007,8980
U9053_00008,8380
U9053_00009,8740
U9053_00010,7980
U9053_00011,9160
U9053_00012,8350
U9053_00013,9130
U9053_00014,9440
U9053_00015,9220
U9053_00016,8660
U9053_00017,8630
U9053_00018,8980
U9053_00019,8700
U9053_00020,9430
U9053_00021,4330
U9053_00022,5000
U9053_00023,3710
U9053_00024,3360
U9053_00025,4640
U9053_00026,4640
U9053_00027,4470
U9053_00028,3930
U9053_00029,4320
U9053_00030,3860
U9053_00031,4000
U9053_00032,3580
U9053_00033,3430
U9053_00034,3460
U9053_00035,3600
U9053_00036,3260
U9053_00037,3160
U9053_00038,2860
U9053_00039,3570
U9053_00040,3390
